ilfil,tidak suka
imba,jago sekali
imho,in my humble opinion
imoet,imut
imoetz,imut
info,informasi
item,hitam
itung,hitung
itungan,hitungan
iy,iya
iye,iya
iyo,iya
jablay,jarang dibelai
jadiin,jadikan
jadul,jaman dulu
jaim,jaga image
jancuk,anjing
jayus,tidak lucu
jdi,jadi
jdikan,jadikan
jem,jam
jga,juga
jgnkan,jangankan
jijay,jijik
jir,anjing
jkt,jakarta
jnj,janji
jomblo,tidak punya pacar
jth,jatuh
jubir,juru bicara
jurdil,jujur adil
jutek,galak
k,ke
ka,kakak
kab,kabupaten
kabag,kepala bagian
kabor,kabur
kacrut,kacau
kadit,kepala direktorat
kadiv,kepala divisi
kaga,tidak
kaka,kakak
kampret,sialan
kamtib,keamanan dan ketertiban
kamtibmas,keamanan dan ketertiban masyarakat
kamuh,kamu
kamuwh,kamu
kamyu,kamu
kanwil,kantor wilayah
kapt,kapten
karna,karena
kasat,kepala satuan
kasubbag,kepala subbagian
kasubbid,kepala subbidang
kau,kamu
kayanya,kayaknya
kbar,kabar
kbr,kabar
kcian,kasihan
kdu,harus
keburu,terlanjur
kec,kecamatan
kedubes,kedutaan besar
kejurnas,kejuaraan nasional
kek,seperti
kekeuh,keras kepala
keknya,kayaknya
kel,kelurahan
keliatan,kelihatan
kemaren,kemarin
keneh,masih
kepengen,mau
kepikiran,terpikirkan
kepingin,mau
kepo,mau tahu urusan orang
kepsek,kepala sekolah
kere,tidak punya uang
kesbang,kesatuan bangsa
kesra,kesejahteraan rakyat
ketauan,ketahuan
ketrima,diterima
keukeuh,keras kepala
kgiatan,kegiatan
khan,kan
kibul,bohong
kibus,kaki busuk
kimpoi,kawin
kk,kakak
klian,kalian
klianz,kalian
kloter,kelompok terbang
kluarga,keluarga
klw,kalau
klwrga,keluarga
kmari,kemari
kmps,kampus
kmpus,kampus
kn,kan
knal,kenal
knl,kenal
knpa,kenapa
kodya,kota madya
kog,kok
komdis,komisi disiplin
kompi,komputer
komsov,komunis sovyet
komtiong,komunis Tiongkok
kongkow,kumpul bareng teman-teman
konjen,konsulat jenderal
kopdar,kopi darat
koq,kok
korup,korupsi
kpd,kepada
kptsan,keputusan
krenz,keren
krik,garing
kt,kita
ktauan,ketahuan
ktmu,ketemu
ktny,katanya
ktr,kantor
kudu,harus
kuper,kurang pergaulan
kuq,kok
kw,imitasi
kyk,seperti
kykny,kayanya
la,lah
laka,kecelakaan
lam,salam
lambreta,lambat
lamp,lampiran
lansia,lanjut usia
lanud,landasan udara
lapas,lembaga pemasyarakatan
latgab,latihan gabungan
lbur,libur
lebay,berlebihan
leh,boleh
lekong,laki-laki
lelet,lambat
lemot,lemah otak
lgi,lagi
lgkp,lengkap
lgsg,langsung
linmas,perlindungan masyarakat
litbang,penelitian dan pengembangan
lmyan,lumayan
lmyn,lumayan
lngkp,lengkap
loch,loh
loe,kamu
lol,tertawa
lola,lambat berfikir
louph,cinta
loupz,cinta
low,kalau
lowh,kamu
"luber,""langsung,umum,bebas,dan rahasia"""
luchu,lucu
luchuw,lucu
luff,cinta
lum,belum
luph,cinta
luthu,lucu
lw,kamu
lwn,lawan
lwt,lewat
maacih,terima kasih
maaciw,terima kasih
mabal,bolos
mabes,markas besar
macem,macam
macem-macem,macam-macam
macih,masih
madesu,masa depan suram
maem,makan
maen,main
magabut,makan gaji buta
mahatma,maju sehat bersama
maho,homo
mak,ibu
mak jang,kaget
maksain,memaksa
malah,bahkan
malem,malam
malu2in,memalukan
mam,makan
mamz,makan
maneh,kamu
manies,manis
maniez,manis
mantep,mantap
mao,mau
markus,makelar kasus
masukin,masukkan
mba,mbak
melu,ikut
mending,lebih baik
mepet,dekat sekali
mhn,mohon
migas,minyak dan gas bumi
miker,minuman keras
mikol,minuman beralkohol
milis,mailing list
miras,minuman keras
mlah,malah
mnt,minta
moge,motor gede
mokad,mati
mokat,mati
moso,masa
mosok,masa
mpe,sampai
mskpn,meskipun
msng2,masing-masing
mt,makan teman
muahal,mahal
mubes,musyawarah besar
muker,musyawarah kerja
mulu,melulu
mumet,pusing
mumpung,selagi
muna,munafik
munas,musyawarah nasional
munaslub,musyawarah nasional luar biasa
muntaber,muntah dan berak
musda,musyawarah daerah
musti,mesti
muup,maaf
muupz,maaf
muuv,maaf
n,dan
nal,kenal
nanam,menanam
nangis,menangis
nanya,bertanya
naon,apa
napi,narapidana
napol,narapidana politik
"napza,""narkotika,alkohol,psikotropika,dan zat adiktif"""
naq,anak
"narkoba,""narkotika,psikotropika,dan obat terlarang"""
narsis,bangga pada diri sendiri
nasgor,nasi goreng
nax,anak
nda,tidak
ndiri,sendiri
ndut,gendut
ne,ini
nekolim,neokolonialisme
nekolin,neokolonialisme
nelfon,menelepon
nembak,menyatakan cinta
ngabis2in,menghabiskan
ngabuburit,menunggu berbuka puasa
ngakak,tertawa
ngaku,mengaku
ngambek,marah
ngambil,mengambil
ngampus,pergi ke kampus
nganggur,tidak punya pekerjaan
ngantri,mengantri
ngapah,kenapa
ngaret,terlambat
ngaruh,berpengaruh
ngasih,memberikan
ngawur,berbicara sembarangan
ngebandel,berbuat bandel
ngeceng,kumpul bareng-bareng
ngegosip,bergosip
ngeh,sadar
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelamar,melamar
ngeles,berkilah
ngeliat,melihat
ngelidur,menggigau
ngemeng,bicara terus-terusan
ngerampok,merampok
ngerti,mengerti
ngibul,berbohong
ngiler,mau
nginep,menginap
ngiri,iri
ngisi,mengisi
ngisiin,mengisikan
ngmg,bicara
ngmng,bicara
ngocol,lucu
ngomong,bicara
ngomongin,membicarakan
ngubek2,mencari-cari
ngumpul,berkumpul
nie,ini
niech,nih
nih,ini
nimbrung,ikut serta
niyh,nih
nkah,nikah
nmr,nomor
no,nomor
nobar,nonton bareng
nongkrong,kumpul-kumpul
nrp,narapidana
ntar,sebentar
ntn,nonton
nuhun,terima kasih
numpuk,bertumpuk
nutupin,menutupi
nyampah,membuat sampah
nyari,mencari
nyariin,mencari
nyekar,menyekar
nyiapin,mempersiapkan
nyicil,mencicil
nyiram,menyiram
nyoblos,mencoblos
nyok,ayo
nyokap,ibu
o/,oleh
ogah,tidak mau
ok,oke
ol,online
omdo,omong doang
ongkir,ongkos kirim
oon,bodoh
oot,out of topic
org2,orang-orang
orkes,olahraga dan kesehatan
ortu,orang tua
ospek,orientasi studi dan pengenalan kampus
otda,otonomi daerah
otre,oke
"otw,""on the way,sedang di jalan"""
pacal,pacar
pahe,paket hemat
pake,pakai
pakek,pakai
pala,kepala
panja,panitia kerja
pansus,panitia khusus
pantura,pantai utara
parpol,partai politik
pas2an,pas-pasan
pasutri,pasangan suami istri
patas,cepat dan terbatas
pede,percaya diri
pelatda,pemusatan latihan daerah
pelatnas,pemusatan latihan nasional
pembokat,pembantu
pemda,pemerintah daerah
pemilu,pemilihan umum
pemkot,pemerintah kota
pemprov,pemerintah provinsi
pemred,pemimpin redaksi
penjas,pendidikan jasmani
penmas,pendidikan masyarakat
perda,peraturan daerah
perek,wanita tuna susila
perhatiin,perhatikan
pertamax,pertama
pesenan,pesanan
pesenin,pesankan
pgang,pegang
pgi,pergi
pi,tapi
pijetin,pijitkan
pilkada,pemilihan kepala daerah
pimpro,pemimpin proyek
pisan,sangat
pisgor,pisang goreng
pm,private message
pmrnth,pemerintah
polantas,polisi lalu lintas
polwan,polisi wanita
ponpes,pondok pesantren
ponsel,telepon seluler
pp,pulang pergi
ppa,apa
prg,pergi
priksa,periksa
prnh,pernah
pro,profesional
psen,pesan
psn,pesan
pst,pasti
psti,pasti
pswt,pesawat
puanas,panas
pw,posisi nyaman
qmo,kamu
qmu,kamu
qt,kita
rakor,rapat koordinasi
rame,ramai
ranmor,kendaraan bermotor
raskin,rakyat miskin
re,reply
red,redaksi
ref,referensi
reg,register
rehab,rehabilitasi
rejeki,rezeki
rempong,sulit
